1,"Chamise
 
 Chamizo
 
 Adenostoma fasciculatum",Painting,"Chamise flowers in May and June, its branches tipped with plumes of tiny white flowers.
 
 Flores de chamizo en mayo y junio, sus ramas con pequeñas flores blancas como plumas en las puntas."
,,Herbarium sheet,"This specimen was collected in summer, during the long dry season. After months without water, the shrub’s small white flowers dry to a rusty brown.
 
 Este espécimen fue recolectado en verano durante la larga temporada seca. Después de meses sin agua, las pequeñas flores blancas del arbusto se resecan y se vuelven de un color marrón rojizo."
,,Living plant,"Chamise is a hardy plant. It can thrive in the rocky soils of California’s coastal slopes, and it recovers quickly from the wildfires that burn through these habitats.
 
 El chamizo es una planta resistente. Puede prosperar en los suelos rocosos de las laderas de la costa de California y se recupera rápidamente de los incendios naturales que ocurren en estos hábitats."
2,"Splendid Mariposa Lily
 
 Mariposa lirio de monte
 
 Calochortus splendens",Painting,"Delicate pink or lavender flowers seem to float like butterflies (mariposas in Spanish) on this lily’s thin stems.
 
 Delicadas flores rosas o lavanda parecen flotar como mariposas en los delgados tallos de este lirio."
,,Herbarium sheet,"This specimen was photographed before it was collected and preserved, documenting how its three petals form a bowl-shaped flower.
 
 Este espécimen fue fotografiado antes de ser recolectado y preservado, documentando cómo sus tres pétalos forman una flor en forma de tazón."
,,Living plant,"Colorful blooms attract bees, which gather this lily’s purple pollen as food for their larvae.
 
 Estas coloridas flores atraen a las abejas, las cuales recogen el polen violeta de este lirio para alimentar a sus larvas."
3,"Ramona-lilac
 
 Lila de Ramona
 
 Ceanothus tomentosus",Painting,"Many species of Ceanothus grow in southern California, bringing clouds of purple-blue to sunny coastal slopes in spring.
 
 Muchas especies de Ceanothus crecen en el sur de California, trayendo nubes de azul-púrpura a las soleadas laderas de la costa en la primavera."
,,Herbarium sheet,"This species gets its name from its leaves, which have fuzzy undersides. (The Latin word tomentose means “fuzzy”).
 
 Esta especie recibe su nombre por sus hojas, que tienen las partes inferiores velludas. (La palabra tomentosa que viene del latín significa “velluda”)."
,,Living plant,"If you’ve ever seen Garden Lilacs, you know they look a lot like these flowers. But a “Ramona-lilac” is not really a Lilac—it just has lilac-colored blooms.
 
 Si alguna vez viste a la lila común, sabes que se parece mucho a estas flores. Pero una “lila de Ramona” no es en realidad una lila—sólo tiene flores de color lila."
4,"Ropevine Clematis
 
 Barba de chivo
 
 Clematis pauciflora",Painting,"This vine extends delicate stems to climb up neighboring shrubs and into trees, sometimes reaching lengths of 20 feet or more.
 
 Esta enredadera extiende sus delicadas ramas trepándose a los arbustos y los árboles cercanos, alcanzando a veces alturas de veinte pies o más."
,,Herbarium sheet,"The long, feathery structures you can see on this specimen are called “styles.” Styles help the plant reproduce by transferring pollen down to the plant’s ovary, where fertilization happens.
 
 Las largas y plumosas estructuras que puedes ver en este espécimen son llamadas ""estilos"". Los estilos ayudan a la planta a reproducirse al transferir el polen al ovario de la planta donde ocurre la fertilización."
,,Living plant,"This plant’s flowers look like little powder puffs because each one has a cluster of up to 50 stamens, which produce the plant’s pollen. This increases a plant’s chances of reproducing.
 
 Las flores de esta planta parecen pequeñas nubecillas de polvo porque cada una tiene un grupo de hasta cincuenta estambres que producen el polen de la planta. Esto aumenta las probabilidades de reproducción de una planta."
5,"San Diego Sea Dahlia
 
 Dalia marítima de San Diego
 
 Leptosyne maritima",Painting,"These bold yellow flowers that grace the coastal bluffs at Torrey Pines State Natural Reserve belong to a rare relative of daisies and sunflowers.
 
 
 Estas llamativas flores amarillas que adornan los acantilados de la costa en la Reserva Natural Torrey Pines pertenecen a un pariente poco común de las margaritas y los girasoles."
,,Herbarium sheet,"This specimen was collected at Torrey Pines State Natural Reserve. Documenting the location of a rare plant such as this one helps us to protect and conserve its habitat.
 
 Este espécimen fue recolectado en la Reserva Natural Torrey Pines. Poder documentar la ubicación de una planta poco común como ésta nos ayuda a proteger y preservar su hábitat."
,,Living plant,"This plant is extremely rare. It grows along southern coastal areas of San Diego County and northern Baja California—but nowhere else in the world.
 
 Esta planta es extremadamente poco común. Crece a lo largo de las zonas costeras del condado de San Diego y el norte de Baja California, pero en ninguna otra parte del mundo."
6,"California Poppy
 
 Amapola amarilla
 
 Eschscholzia californica",Painting,"Designated as the California state flower in 1903, these glorious yellow-to-orange blooms grow wild in nearly every county in the state.
 
 Nombrada flor estatal de California en 1903, estas gloriosas flores con colores entre amarillo y naranja crecen naturalmente en casi todos los condados del estado."
,,Herbarium sheet,"One of the flowers on this specimen is open; the rest are closed. A California Poppy opens in the daylight and closes again at sunset.
 
 Una de las flores de este espécimen está abierta; las demás estan cerradas. Una amapola amarilla se abre con la luz del día y se cierra otra vez al atardecer."
,,Living plant,"Long before this flower became a California state symbol, early Spanish settlers called it copa de oro (“cup of gold”).
 
 Mucho antes de que esta flor llegara a ser un símbolo del estado de California, los colonizadores españoles la llamaban “copa de oro”."
7,"Toyon
 
 Tollón
 
 Heteromeles arbutifolia",Painting,"Late summer brings clusters of white or cream-colored flowers to this plant. In fall, bright red berries appear, providing food for wildlife through the winter.
 
 El final del verano trae racimos de flores blancas o color crema a esta planta. En el otoño, aparecen bayas de color rojo brillante que proveen el alimento para la vida animal a lo largo del invierno."
,,Herbarium sheet,"This specimen was collected in June, when the plant was in bloom. Its small flowers might not look like roses, but Toyon is a member of the rose family.
 
 Este espécimen fue recolectado en junio cuando la planta estaba en flor. Aunque por sus pequeñas flores no lo parezca, el tollón es un miembro de la familia de las rosas."
,,Living plant,"Toyon is also known as “Christmas Berry.” Its red berries appear in winter, and many Californians use the plant in holiday decorations because it looks like traditional English Holly.
 
 Al tollón también se lo conoce como “baya de Navidad”. Sus bayas rojas aparecen en invierno, y muchos californianos usan la planta en decoraciones durante las fiestas navideñas porque se parece al tradicional acebo."
8,"San Diego Sweet Pea
 
 Chícharo
 
 Lathyrus vestitus var. alefeldii",Painting,"Delicate coiling tendrils twine around supporting structures and other plants, helping the San Diego Sweet Pea vine to climb.
 
 Delicados zarcillos enrollados se enroscan a las estructuras vecinas y otras plantas, ayudando así a trepar a la enredadera chícharo."
,,Herbarium sheet,"San Diego Sweet Pea is a legume: its fruit grows as a pod that holds its seeds. You can see the preserved pods on lower-left side of this specimen.
 
 El chícharo es una planta leguminosa: su fruto crece como una vaina que aloja sus semillas. Puedes ver las vainas preservadas en el lado inferior-izquierdo de este espécimen."
,,Living plant,"San Diego Sweet Pea is a true southern California native. You’ll spot its deep pink blooms almost nowhere else in the world.
 
 El chícharo es una planta genuinamente nativa al sur de California. No podrás detectar sus flores color rosa profundo en casi ninguna otra parte del mundo."
9,"Chaparral Mallow
 
 Malvia
 
 Malacothamnus fasciculatus",Painting,"Delicate flowers on tall stalks appear in spring and can last for months, bringing welcome color to the dry landscape of a southern California summer.
 
 Delicadas flores en altos tallos aparecen en la primavera y pueden durar meses, lo cual confiere un agradable color al paisaje árido de un verano en el sur de California."
,,Herbarium sheet,"Look closely to see fine hairs on this plant’s leaves and stems. The hairs hold moist air near the plant’s surface, preventing it from drying out. In southern California, drought is common—and so are hairy leaves on plants.
 
 Mira con atención para ver los delicados vellos en las hojas y tallos de esta planta. Los vellos retienen el aire húmedo cerca de la superficie de la planta, evitando que se reseque. En el sur de California, la sequía es común—y también lo son las plantas con hojas velludas."
